nurse_id,first_name,last_name,gender,date_of_birth,department_id,phone_number,email,years_of_experience,shift_details
1,Ring,Sawood,male,2002-02-04,3,891-649-0928,rsawood0@ucoz.ru,34,night shift
2,Denny,Scamadin,male,1966-01-01,7,394-455-4207,dscamadin1@census.gov,11,day shift
3,Onida,Rowena,male,1985-03-01,12,410-752-3547,orowena2@csmonitor.com,26,day shift
4,Alanna,Elliff,female,1980-08-04,18,480-384-0068,aelliff3@hostgator.com,1,weekend shift
5,Clarke,Spollen,male,1974-11-19,5,518-399-7209,cspollen4@smh.com.au,3,day shift
6,Kennan,Aldus,female,2001-06-09,9,922-109-1805,kaldus5@ihg.com,20,weekend shift
7,Clarine,Sexon,female,1978-08-23,15,975-301-8071,csexon6@nymag.com,10,night shift
8,Dagmar,Kilford,male,1988-01-10,2,608-528-5421,dkilford7@diigo.com,17,day shift
9,Meredith,Hayselden,female,1994-10-21,10,729-147-8707,mhayselden8@163.com,5,weekend shift
10,Sidonnie,Amori,female,1978-04-18,14,525-440-0996,samori9@simplemachines.org,11,night shift
11,Elizabet,Cummins,male,1983-11-29,6,622-448-6555,ecumminsa@addthis.com,5,night shift
12,Lavina,Cashford,female,2002-09-05,1,434-858-4213,lcashfordb@bloomberg.com,9,day shift
13,Fremont,Halse,female,1969-10-09,8,783-503-6196,fhalsec@example.com,28,weekend shift
14,Ingrid,Tappin,female,2004-05-08,11,707-343-3430,itappind@va.gov,10,weekend shift
15,Milli,Strangward,male,1993-03-15,17,948-692-9020,mstrangwarde@cbslocal.com,35,night shift
16,Humfrey,Denver,female,2005-11-06,4,412-344-2065,hdenverf@google.es,4,weekend shift
17,Fawne,Froggatt,male,2004-12-27,20,875-581-4027,ffroggattg@bigcartel.com,19,day shift
18,Chantalle,Wimmers,male,1982-07-02,13,246-463-9109,cwimmersh@wikispaces.com,21,night shift
19,Chrystal,Cordet,female,1992-04-18,16,362-908-9395,ccordeti@xinhuanet.com,34,weekend shift
20,Benny,Stockau,male,1975-11-10,19,678-738-0620,bstockauj@google.nl,25,weekend shift
